"customer","product","75% purchased by month"
"Boo","Apple",9
"Boo","Butter",9
"Boo","Cherry",10
"Boo","Dates",10
"Boo","Eggs",9
"Boo","Fish",10
"Boo","Grapes",10
"Boo","Ham",10
"Boo","Ice",9
"Boo","Jellies",9
"Chae","Apple",10
"Chae","Butter",9
"Chae","Cherry",9
"Chae","Dates",10
"Chae","Eggs",10
"Chae","Fish",9
"Chae","Grapes",9
"Chae","Ham",9
"Chae","Ice",9
"Chae","Jellies",10
"Claire","Apple",9
"Claire","Butter",10
"Claire","Cherry",10
"Claire","Dates",8
"Claire","Eggs",9
"Claire","Fish",9
"Claire","Grapes",10
"Claire","Ham",10
"Claire","Ice",10
"Claire","Jellies",10
"Dan","Apple",10
"Dan","Butter",9
"Dan","Cherry",9
"Dan","Dates",9
"Dan","Eggs",9
"Dan","Fish",9
"Dan","Grapes",10
"Dan","Ham",9
"Dan","Ice",9
"Dan","Jellies",9
"Emily","Apple",10
"Emily","Butter",11
"Emily","Cherry",10
"Emily","Dates",10
"Emily","Eggs",10
"Emily","Fish",10
"Emily","Grapes",9
"Emily","Ham",10
"Emily","Ice",10
"Emily","Jellies",10
"Helen","Apple",8
"Helen","Butter",10
"Helen","Cherry",9
"Helen","Dates",10
"Helen","Eggs",9
"Helen","Fish",10
"Helen","Grapes",10
"Helen","Ham",9
"Helen","Ice",10
"Helen","Jellies",9
"Mia","Apple",9
"Mia","Butter",10
"Mia","Cherry",9
"Mia","Dates",9
"Mia","Eggs",9
"Mia","Fish",9
"Mia","Grapes",9
"Mia","Ham",9
"Mia","Ice",10
"Mia","Jellies",9
"Sam","Apple",10
"Sam","Butter",9
"Sam","Cherry",10
"Sam","Dates",10
"Sam","Eggs",9
"Sam","Fish",10
"Sam","Grapes",10
"Sam","Ham",10
"Sam","Ice",9
"Sam","Jellies",9
"Wally","Apple",9
"Wally","Butter",9
"Wally","Cherry",10
"Wally","Dates",10
"Wally","Eggs",10
"Wally","Fish",9
"Wally","Grapes",10
"Wally","Ham",9
"Wally","Ice",10
"Wally","Jellies",10
